len mispredictions_random_haswell
10 0.00
20 0.00
30 0.00
40 0.00
50 0.00
60 0.00
70 0.00
80 0.00
90 0.00
100 0.00
110 0.00
120 0.00
130 0.00
140 0.00
150 0.00
160 0.00
170 0.00
180 0.00
190 0.00
200 0.00
210 0.00
220 0.00
230 0.00
240 0.00
250 0.00
260 0.00
270 0.02
280 0.00
290 0.14
300 0.00
310 0.00
320 0.00
330 0.00
340 0.00
350 0.00
360 0.21
370 0.11
380 0.11
390 0.11
400 0.24
410 0.11
420 0.10
430 0.10
440 0.20
450 0.16
460 0.19
470 0.13
480 0.19
490 0.21
500 0.37
510 0.87
520 0.88
530 1.25
540 1.52
550 1.77
560 1.95
570 2.27
580 2.61
590 2.89
600 3.21
610 3.48
620 3.64
630 3.93
640 4.07
650 4.43
660 4.60
670 4.84
680 5.16
690 5.46
700 5.65
710 5.94
720 6.13
730 6.36
740 6.59
750 6.77
760 6.97
770 7.19
780 7.38
790 7.60
800 7.81
810 8.03
820 8.20
830 8.35
840 8.57
850 8.77
860 8.94
870 9.17
880 9.35
890 9.47
900 9.59
910 9.74
920 9.89
930 10.09
940 10.26
950 10.33
960 10.51
970 10.67
980 10.77
990 10.91
1000 11.02
1010 11.15
1020 11.32
1030 11.45
1040 11.52
1050 11.64
1060 11.81
1070 11.96
1080 12.11
1090 12.21
1100 12.33
1110 12.48
1120 12.60
1130 12.71
1140 12.84
1150 12.97
1160 13.11
1170 13.21
1180 13.30
1190 13.41
1200 13.47
1210 13.58
1220 13.71
1230 13.83
1240 13.97
1250 14.04
1260 14.11
1270 14.24
1280 14.34
1290 14.43
1300 14.49
1310 14.60
1320 14.67
1330 14.75
1340 14.82
1350 14.90
1360 14.95
1370 15.02
1380 15.14
1390 15.22
1400 15.29
1410 15.36
1420 15.40
1430 15.47
1440 15.52
1450 15.56
1460 15.60
1470 15.65
1480 15.69
1490 15.73
1500 15.78
1510 15.81
1520 15.84
1530 15.89
1540 15.94
1550 15.98
1560 16.02
1570 16.07
1580 16.12
1590 16.17
1600 16.21
1610 16.24
1620 16.29
1630 16.33
1640 16.37
1650 16.43
1660 16.48
1670 16.52
1680 16.57
1690 16.60
1700 16.65
1710 16.68
1720 16.73
1730 16.75
1740 16.79
1750 16.80
1760 16.83
1770 16.87
1780 16.90
1790 16.93
1800 16.95
1810 16.98
1820 16.99
1830 17.02
1840 17.04
1850 17.07
1860 17.10
1870 17.12
1880 17.16
1890 17.17
1900 17.21
1910 17.24
1920 17.27
1930 17.31
1940 17.33
1950 17.35
1960 17.37
1970 17.40
1980 17.42
1990 17.45
2000 17.48
2010 17.51
2020 17.52
2030 17.53
2040 17.53
