len mispredictions_sequential_haswell
10 0.00
20 0.00
30 0.00
40 0.00
50 0.00
60 0.00
70 0.00
80 0.00
90 0.00
100 0.00
110 0.00
120 0.00
130 0.00
140 0.00
150 0.00
160 0.00
170 0.00
180 0.00
190 0.00
200 0.00
210 0.00
220 0.00
230 0.00
240 0.00
250 0.00
260 0.00
270 0.02
280 0.00
290 0.27
300 0.15
310 0.10
320 0.52
330 0.51
340 0.71
350 0.35
360 1.38
370 2.30
380 2.20
390 2.34
400 3.24
410 3.19
420 3.59
430 4.05
440 4.38
450 4.94
460 5.21
470 5.48
480 5.82
490 6.09
500 6.29
510 6.62
520 7.11
530 7.01
540 7.48
550 7.79
560 7.87
570 8.09
580 8.34
590 8.64
600 8.82
610 9.01
620 9.21
630 9.49
640 9.79
650 9.91
660 10.02
670 10.20
680 10.40
690 10.60
700 10.70
710 10.84
720 11.03
730 11.08
740 11.31
750 11.45
760 11.48
770 11.59
780 11.66
790 11.96
800 12.10
810 12.14
820 12.07
830 12.15
840 12.15
850 12.33
860 12.38
870 12.46
880 12.50
890 12.58
900 12.52
910 12.62
920 12.65
930 12.67
940 12.63
950 12.85
960 12.88
970 13.04
980 13.03
990 13.11
1000 13.05
1010 13.20
1020 13.31
1030 13.23
1040 13.15
1050 13.08
1060 12.97
1070 12.92
1080 12.86
1090 12.76
1100 12.67
1110 12.66
1120 12.56
1130 12.50
1140 12.45
1150 12.37
1160 12.30
1170 12.22
1180 12.16
1190 12.11
1200 12.01
1210 12.00
1220 11.92
1230 11.88
1240 11.80
1250 11.70
1260 11.69
1270 11.59
1280 11.53
1290 11.48
1300 11.43
1310 11.39
1320 11.30
1330 11.23
1340 11.21
1350 11.16
1360 11.11
1370 11.03
1380 10.97
1390 10.92
1400 10.89
1410 10.85
1420 10.78
1430 10.71
1440 10.69
1450 10.62
1460 10.58
1470 10.55
1480 10.50
1490 10.43
1500 10.39
1510 10.32
1520 10.29
1530 10.25
1540 10.23
1550 10.15
1560 10.15
1570 10.09
1580 10.01
1590 9.96
1600 9.91
1610 9.89
1620 9.79
1630 9.80
1640 9.76
1650 9.69
1660 9.67
1670 9.66
1680 9.62
1690 9.59
1700 9.54
1710 9.47
1720 9.44
1730 9.41
1740 9.33
1750 9.30
1760 9.30
1770 9.26
1780 9.21
1790 9.19
1800 9.18
1810 9.13
1820 9.12
1830 9.02
1840 8.98
1850 8.99
1860 8.95
1870 8.91
1880 8.87
1890 8.83
1900 8.81
1910 8.76
1920 8.73
1930 8.72
1940 8.67
1950 8.64
1960 8.62
1970 8.58
1980 8.58
1990 8.52
2000 8.47
2010 8.45
2020 8.43
2030 8.40
2040 8.36
