code difference 
8938 -0.018457
9828 0.043373
10718 0.000641
11608 0.032615
12498 0.037457
13388 0.044643
14278 0.057071
15168 -0.020481
16058 0.035900
16948 -0.001558
17838 -0.005385
18728 0.001669
19618 -0.061100
20508 0.024807
22288 0.003905
23178 0.016108
24068 0.024369
24958 0.009190
25848 0.038407
26738 0.008713
27628 0.011156
28518 0.020056
29408 -0.009713
30298 -0.004563
31188 0.034607
32078 0.004340
32968 0.020005
33858 0.018772
34748 0.004197
35638 -0.013659
36528 -0.010877
37418 -0.024099
38308 -0.000833
39198 0.007307
40088 -0.008050
40978 -0.011519
41868 0.016221
42758 -0.003181
43648 -0.000323
44538 0.009590
45428 -0.020328
46318 -0.017694
47208 -0.039227
48098 -0.028323
48988 -0.007445
49878 -0.022584
50768 -0.006217
51658 -0.003975
52548 -0.011481
53438 -0.014185
54328 -0.025486
55218 -0.002554
56108 -0.013496
56998 -0.022698
57888 -0.017883
58778 -0.043268
59668 0.009098
60558 -0.001063
61448 0.005523
62338 -0.007876
63228 -0.000334
64118 0.002051
65008 0.010818
65898 -0.018605
66788 0.004788
67678 -0.023904
68568 0.000722
69458 -0.044081
70348 0.000073
71238 -0.017782
72128 -0.042567
73018 -0.031785
73908 -0.022603
74798 -0.002658
75688 -0.022262
76578 0.000754
77468 -0.008133
78358 0.003654
79248 -0.010622
80138 0.002078
81028 0.004839
81918 -0.005848
82808 -0.008995
83698 -0.020256
84588 -0.009149
85478 -0.032648
86368 -0.009610
87258 -0.021282
88148 -0.028496
89038 -0.013688
89928 -0.024916
90818 -0.008977
91708 -0.036518
92598 -0.024627
93488 -0.027027
94378 0.001283
95268 -0.001928
96158 -0.024426
97048 0.001328
97938 -0.030685
98828 -0.041230
99718 -0.037196
100608 -0.004605
101498 -0.017932
102388 0.006658
103278 -0.001192
104168 -0.040977
105058 -0.032417
105948 -0.027874
106838 -0.020144
107728 -0.015114
108618 -0.018261
109508 -0.010796
110398 0.006281
111288 -0.022894
112178 0.009689
113068 -0.014443
113958 -0.014708
114848 -0.008393
115738 -0.012703
116628 0.006025
117518 -0.032517
118408 -0.017528
119298 -0.018636
120188 -0.031240
121078 0.024737
121968 -0.040569
122858 -0.045424
123748 -0.034156
124638 -0.047855
125528 -0.010721
126418 0.011863
127308 -0.013555
128198 -0.018081
129088 -0.027554
129978 -0.030343
130868 -0.030135
131758 -0.038872
132648 0.000108
133538 -0.023389
134428 -0.024363
135318 -0.023104
136208 -0.049323
137098 -0.012854
137988 -0.023649
138878 -0.036010
139768 0.003699
140658 -0.022438
141548 -0.038712
142438 -0.032289
143328 -0.036659
144218 -0.044414
145108 -0.047949
145998 -0.044465
146888 -0.071560
147778 -0.027683
148668 -0.070338
149558 -0.046627
150448 -0.041738
151338 -0.062413
152228 -0.051088
153118 -0.055069
154008 -0.053926
154898 -0.064953
155788 -0.055991
156678 -0.068333
157568 -0.076659
158458 -0.004552
159348 -0.104147
160238 -0.101426
161128 -0.102442
162018 -0.081829
162908 -0.082583
163798 -0.072572
164688 -0.100073
165578 -0.104588
166468 -0.097438
167358 -0.036699
168248 -0.095244
169138 -0.112338
170028 -0.094408
170918 -0.113787
171808 -0.076001
172698 -0.083256
173588 -0.063060
174478 -0.082631
175368 -0.015914
176258 -0.051904
177148 -0.059467
178038 -0.016450
178928 -0.033680
179818 -0.100863
180708 -0.028921
181598 -0.011214
182488 -0.023289
183378 0.016009
184268 0.004951
185158 -0.001191
186048 -0.037857
186938 0.009361
187828 0.021874
188718 0.018183
189608 0.008055
190498 -0.011727
191388 -0.026184
192278 -0.077554
193168 0.022437
194058 -0.057620
194948 -0.050636
195838 -0.039305
196728 -0.059620
197618 -0.091871
198508 -0.095965
199398 -0.063772
200288 -0.095305
201178 -0.041917
202068 -0.066055
202958 -0.047261
203848 -0.046506
204738 -0.049520
205628 -0.011724
206518 -0.025842
207408 -0.006598
208298 -0.005057
209188 -0.008682
210078 -0.011078
210968 0.038100
211858 0.004670
212748 0.033101
213638 0.036689
214528 0.004389
215418 0.044567
216308 0.025084
217198 0.026868
218088 0.037603
218978 0.023884
219868 -0.031215
220758 -0.001929
221648 0.001393
222538 0.015407
223428 -0.003734
224318 -0.057409
225208 0.002190
226098 0.022919
226988 0.004705
227878 0.010054
228768 -0.026531
229658 0.035476
230548 0.029945
231438 -0.013696
232328 0.001324
233218 -0.019681
234108 0.006948
234998 0.002151
235888 0.003322
236778 0.015820
237668 -0.049962
238558 -0.002339
239448 0.011832
240338 -0.021367
241228 0.010313
242118 -0.023311
243008 0.042322
243898 -0.011488
244788 -0.029135
245678 0.005465
246568 -0.003269
247458 0.004031
248348 0.010669
249238 0.022196
250128 0.033757
251018 0.001196
251908 -0.001981
252798 0.005181
253688 0.022675
254578 -0.011651
255468 -0.014586
256358 0.008892
257248 0.002239
258138 -0.002255
259028 0.004866
259918 -0.008015
260808 0.009848
261698 0.013633
262588 -0.001879
263478 0.006492
264368 -0.000566
265258 0.007488
266148 0.005495
267038 0.018043
267928 0.017353
268818 -0.000244
269708 0.020578
270598 0.030556
271488 0.007077
272378 0.010996
273268 0.004774
274158 0.005077
275048 0.011966
275938 -0.002821
276828 0.005792
277718 0.017931
278608 0.022059
279498 0.003921
280388 -0.009059
281278 -0.007603
282168 0.028847
283058 0.028492
283948 0.035591
284838 0.033464
285728 0.001330
286618 -0.028025
287508 -0.011041
288398 0.012999
289288 -0.002324
290178 -0.002175
291068 -0.016837
291958 -0.025679
292848 -0.028390
293738 -0.003183
294628 -0.006558
295518 -0.013723
296408 -0.016615
297298 -0.036860
298188 -0.025507
299078 -0.028795
299968 0.001367
300858 -0.013444
301748 -0.017265
302638 -0.004845
303528 -0.043485
304418 -0.021835
305308 -0.025308
306198 0.001693
307088 -0.037281
307978 -0.051593
308868 -0.047992
309758 -0.012439
310648 -0.010349
311538 -0.074490
312428 -0.042294
313318 -0.030066
314208 -0.026924
315098 -0.028249
315988 -0.021293
316878 -0.003623
317768 -0.027783
318658 -0.013217
319548 -0.018632
320438 -0.020972
